Horizon started successfully.
[2023-01-09 16:37:14][754] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][757] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][757] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][759] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][759] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][760] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][760] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][763] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][763] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][755] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][755] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][756] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][756] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][758] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][758] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][761] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][761] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][762] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][762] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][764] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][764] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][767] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:50][767] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:50][768] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][768] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][771] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][771] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][776] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][776] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][779] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:50][779] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:50][780] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:50][780] Processed:  Modules\Tasks\Events\TaskStatusUpdated
